feedback_id,guest_id,hotel_type,package_name,stay_date,nps_score,checkin_satisfaction,room_satisfaction,food_satisfaction,value_for_money,would_return,booking_channel
FB0000001,G002578,City Hotel,Full Board,2016-06-06,7,4,3,3,5,Maybe,TA/TO
FB0000002,G003259,Resort Hotel,Standard,2016-12-29,10,5,4,2,2,Y,Direct
FB0000003,G001489,City Hotel,Half Board,2016-03-15,5,1,4,2,1,Maybe,Direct
FB0000004,G003520,Resort Hotel,Standard,2015-10-12,9,2,4,2,3,Maybe,Direct
FB0000005,G002468,City Hotel,Standard,2015-08-20,10,2,5,4,1,Y,Direct
FB0000006,G001293,Resort Hotel,Breakfast Included,2017-05-26,9,1,3,1,2,Maybe,GDS
FB0000007,G002441,City Hotel,Half Board,2015-11-27,6,5,2,2,3,Y,Direct
FB0000008,G001896,City Hotel,Breakfast Included,2017-08-31,8,1,1,1,2,Y,GDS
FB0000009,G004945,City Hotel,Premium All-Inclusive,2017-01-08,9,2,3,2,3,Y,TA/TO
FB0000010,G004001,City Hotel,Premium All-Inclusive,2017-07-01,10,3,2,2,5,N,GDS
FB0000011,G003971,Resort Hotel,Standard,2016-01-05,8,5,3,4,4,N,GDS
FB0000012,G004403,Resort Hotel,Standard,2016-10-12,8,3,2,4,1,N,Direct
FB0000013,G001551,City Hotel,Premium All-Inclusive,2017-04-18,8,5,1,4,2,Y,GDS
FB0000014,G001056,Resort Hotel,Standard,2016-01-09,10,3,4,4,2,N,Direct
FB0000015,G001621,Resort Hotel,Full Board,2016-01-08,8,3,3,5,5,Maybe,GDS
FB0000016,G003727,City Hotel,Full Board,2017-01-07,8,2,3,2,5,Y,Direct
FB0000017,G003541,City Hotel,Half Board,2017-02-28,4,2,2,5,2,Y,TA/TO
FB0000018,G001613,Resort Hotel,Standard,2015-12-28,8,2,3,5,1,N,Direct
FB0000019,G000225,Resort Hotel,Full Board,2015-08-13,9,1,3,3,1,Y,GDS
FB0000020,G001315,City Hotel,Half Board,2017-02-24,10,3,3,4,4,Maybe,Direct
FB0000021,G004648,City Hotel,Premium All-Inclusive,2017-02-09,9,3,1,3,4,Y,TA/TO
FB0000022,G001550,City Hotel,Premium All-Inclusive,2017-04-19,10,3,1,3,2,N,TA/TO
