guest_id,country,loyalty_tier,total_stays,total_spend_eur,avg_lead_time_days,preferred_segment,enrolled_date,email_opt_in
G000001,GBR,Silver,9,1262.4,93,Complementary,2021-02-11,Y
G000002,NLD,Silver,4,571.27,10,Groups,2017-03-25,N
G000003,ITA,Bronze,3,805.49,42,Online TA,2017-05-31,N
G000004,PRT,Bronze,2,486.01,100,Corporate,2021-01-05,Y
G000005,NLD,Platinum,68,20667.87,120,Offline TA/TO,2021-06-22,Y
G000006,ESP,Silver,9,3114.09,117,Direct,2019-04-06,N
G000007,DEU,Bronze,2,273.13,96,Complementary,2022-04-08,Y
G000008,DEU,Silver,8,1638.48,88,Complementary,2021-03-31,Y
G000009,GBR,Silver,5,941.57,34,Groups,2023-01-19,N
G000010,ESP,Bronze,2,303.04,102,Groups,2021-01-16,N
G000011,FRA,Silver,8,1113.73,72,Corporate,2016-01-08,Y
G000012,BRA,Gold,16,3856.49,55,Groups,2020-04-01,N
G000013,ITA,Platinum,99,27990.96,21,Offline TA/TO,2019-11-16,Y
G000014,CHN,Bronze,3,857.19,20,Complementary,2018-05-07,Y
G000015,USA,Bronze,1,241.72,9,Direct,2019-01-26,N
G000016,GBR,Bronze,1,277.62,104,Groups,2023-08-03,Y
G000017,NLD,Bronze,2,444.94,61,Online TA,2021-01-17,Y
G000018,USA,Silver,9,2906.06,22,Online TA,2017-07-09,Y
G000019,PRT,Bronze,3,245.82,36,Direct,2015-05-09,N
G000020,NLD,Bronze,1,225.59,80,Corporate,2017-09-22,N
G000021,BRA,Gold,14,2459.24,66,Complementary,2015-08-10,Y
G000022,CHN,Bronze,3,395.19,64,Online TA,2019-09-25,Y
G000023,CHN,Bronze,1,298.17,19,Direct,2022-04-25,Y
G000024,BRA,Platinum,93,19526.91,14,Online TA,2019-04-02,Y
G000025,CHN,Platinum,67,13012.21,91,Complementary,2020-06-16,Y
G000026,ITA,Bronze,1,96.46,14,Direct,2021-07-20,N
G000027,FRA,Silver,5,508.15,15,Groups,2015-10-06,Y
G000028,BRA,Bronze,3,741.7,91,Groups,2021-05-04,N
G000029,FRA,Gold,21,3186.03,92,Complementary,2018-05-13,N
G000030,ESP,Bronze,1,99.78,71,Offline TA/TO,2016-06-26,N
G000031,CHN,Gold,20,3966.2,97,Offline TA/TO,2021-11-10,Y
G000032,GBR,Silver,6,908.43,102,Groups,2016-09-28,N
G000033,DEU,Bronze,1,265.62,71,Corporate,2017-10-25,Y
G000034,FRA,Bronze,2,161.91,88,Offline TA/TO,2016-10-23,N
G000035,FRA,Silver,8,802.53,76,Direct,2019-02-21,Y
G000036,ESP,Bronze,1,322.71,94,Online TA,2022-06-24,Y
G000037,ESP,Bronze,3,989.87,117,Online TA,2023-12-21,Y
G000038,ESP,Gold,21,6228.67,41,Online TA,2023-10-31,Y
G000039,USA,Bronze,1,133.88,51,Offline TA/TO,2023-12-02,Y
G000040,GBR,Bronze,3,465.67,105,Offline TA/TO,2018-12-09,N
G000041,DEU,Silver,6,1900.8,29,Groups,2017-12-23,Y
G000042,CHN,Bronze,2,487.35,21,Corporate,2021-06-19,Y
G000043,CHN,Bronze,3,989.72,94,Complementary,2023-04-28,Y
G000044,GBR,Bronze,1,259.11,99,Offline TA/TO,2020-09-08,N
G000045,BRA,Silver,7,922.58,93,Complementary,2016-12-13,N
G000046,NLD,Bronze,1,196.07,84,Complementary,2018-08-12,N
G000047,FRA,Bronze,3,882.93,91,Direct,2018-03-08,N
G000048,FRA,Bronze,1,297.77,10,Direct,2017-09-29,N
G000049,BRA,Silver,7,1917.67,70,Corporate,2017-09-26,Y
G000050,CHN,Silver,10,1390.87,66,Direct,2021-04-02,Y
G000051,CHN,Gold,15,3903.69,83,Offline TA/TO,2023-06-21,N
G000052,USA,Silver,8,2577.97,64,Offline TA/TO,2023-06-07,Y
G000053,DEU,Gold,27,6729.0,63,Direct,2023-01-01,N
G000054,ESP,Bronze,2,234.72,56,Complementary,2016-09-17,Y
G000055,ESP,Bronze,2,384.52,113,Corporate,2019-05-15,Y
G000056,DEU,Gold,26,8698.05,103,Corporate,2019-09-13,Y
G000057,BRA,Bronze,2,369.98,99,Online TA,2020-03-29,Y
G000058,BRA,Platinum,34,3490.64,24,Corporate,2017-01-14,Y
G000059,BRA,Bronze,2,342.25,42,Corporate,2017-10-30,Y
G000060,GBR,Bronze,3,421.62,106,Complementary,2015-06-14,Y
G000061,USA,Gold,11,1588.48,92,Direct,2021-04-29,Y
G000062,GBR,Bronze,2,487.18,106,Online TA,2018-06-28,Y
G000063,ESP,Silver,8,2673.58,16,Groups,2022-09-29,Y
G000064,NLD,Bronze,2,589.96,107,Direct,2018-11-23,N
G000065,USA,Silver,8,2475.08,20,Corporate,2019-01-23,N
G000066,CHN,Silver,5,1231.48,106,Corporate,2020-03-19,N
G000067,GBR,Gold,21,6390.24,42,Corporate,2017-09-25,N
G000068,ITA,Silver,7,1494.24,30,Corporate,2017-05-18,N
G000069,CHN,Silver,6,1380.38,31,Direct,2017-09-15,N
G000070,PRT,Bronze,1,201.01,18,Offline TA/TO,2017-06-26,N
G000071,CHN,Silver,9,1870.02,51,Corporate,2023-05-14,N
G000072,ESP,Bronze,2,284.49,47,Direct,2023-05-01,Y
G000073,GBR,Bronze,3,723.4,113,Online TA,2018-04-28,Y
G000074,PRT,Bronze,2,308.13,77,Offline TA/TO,2022-10-27,Y
G000075,USA,Silver,4,826.95,50,Online TA,2015-07-30,N
G000076,NLD,Gold,13,2766.03,87,Complementary,2015-08-08,Y
G000077,BRA,Bronze,3,335.95,84,Groups,2023-11-13,Y
G000078,BRA,Silver,7,2185.71,46,Groups,2021-12-18,Y
G000079,GBR,Silver,4,605.82,27,Online TA,2016-12-12,Y
G000080,ESP,Bronze,2,317.28,43,Complementary,2018-03-04,N
G000081,CHN,Bronze,1,194.79,35,Complementary,2016-09-02,N
G000082,NLD,Gold,16,3850.59,43,Corporate,2016-05-24,N
G000083,USA,Silver,7,1580.57,17,Groups,2015-06-13,N
G000084,NLD,Silver,6,850.86,82,Direct,2023-07-30,N
G000085,FRA,Silver,7,2291.38,81,Corporate,2022-02-13,N
G000086,GBR,Platinum,73,12168.06,116,Online TA,2018-09-12,N
G000087,ITA,Silver,9,1825.23,39,Offline TA/TO,2016-04-19,N
G000088,ESP,Gold,28,5364.15,73,Offline TA/TO,2021-12-25,N
G000089,USA,Silver,5,1652.36,119,Complementary,2020-06-08,Y
G000090,PRT,Bronze,3,491.71,77,Corporate,2016-01-17,Y
G000091,DEU,Platinum,50,10728.07,72,Complementary,2018-01-24,N
G000092,NLD,Gold,25,4589.21,72,Complementary,2016-07-13,Y
G000093,DEU,Bronze,2,603.1,99,Offline TA/TO,2021-08-01,N
G000094,CHN,Gold,26,4413.73,55,Corporate,2018-08-11,Y
G000095,BRA,Platinum,60,18667.41,12,Offline TA/TO,2023-05-09,N
G000096,FRA,Silver,7,2383.52,71,Groups,2018-09-21,Y
G000097,FRA,Gold,27,2271.88,59,Complementary,2016-09-24,Y
G000098,ITA,Bronze,2,510.91,116,Complementary,2020-12-25,N
G000099,GBR,Platinum,100,8969.28,37,Complementary,2022-09-04,N
G000100,GBR,Platinum,43,12267.89,63,Online TA,2022-10-13,N
G000101,BRA,Gold,12,2121.42,25,Online TA,2020-12-15,N
G000102,BRA,Silver,5,1222.81,86,Complementary,2017-09-13,N
G000103,PRT,Gold,25,5102.1,109,Corporate,2018-03-24,Y
G000104,USA,Bronze,2,532.77,115,Offline TA/TO,2017-03-26,N
G000105,DEU,Gold,23,5409.58,9,Complementary,2019-06-10,N
G000106,DEU,Bronze,3,914.6,106,Online TA,2021-10-22,N
G000107,PRT,Bronze,1,249.63,46,Corporate,2015-05-17,N
G000108,FRA,Silver,6,764.54,107,Groups,2019-02-07,N
G000109,ITA,Gold,26,7320.85,109,Direct,2020-04-02,Y
G000110,BRA,Bronze,1,104.38,8,Offline TA/TO,2021-01-06,Y
G000111,ITA,Bronze,3,906.16,20,Complementary,2017-08-15,N
G000112,USA,Bronze,3,764.6,96,Offline TA/TO,2022-04-13,N
G000113,ESP,Bronze,1,111.35,120,Groups,2016-07-09,N
G000114,FRA,Bronze,3,715.75,120,Corporate,2022-05-06,Y
G000115,ESP,Gold,19,5061.14,63,Corporate,2017-08-25,N
G000116,DEU,Bronze,3,289.05,31,Direct,2020-02-06,Y
G000117,ITA,Silver,9,842.91,38,Online TA,2023-10-29,Y
G000118,ESP,Bronze,3,898.57,49,Online TA,2023-11-05,Y
G000119,GBR,Bronze,1,295.6,91,Direct,2016-06-23,Y
G000120,PRT,Bronze,1,127.05,23,Complementary,2019-09-21,Y
G000121,USA,Silver,7,1682.03,71,Online TA,2021-11-24,Y
G000122,PRT,Silver,8,2029.62,14,Corporate,2019-07-04,N
G000123,ITA,Silver,9,2905.22,84,Online TA,2015-09-27,Y
G000124,NLD,Bronze,3,548.53,74,Offline TA/TO,2020-02-02,N
