package_id,package_name,meal_type,room_type,base_price,includes_spa,includes_transfer,hotel_type,is_premium
PKG-R-BB-A,Resort Starter BB,BB,A,85.0,False,False,Resort Hotel,False
PKG-R-BB-D,Resort Classic BB,BB,D,115.0,False,False,Resort Hotel,False
PKG-R-HB-D,Resort Comfort HB,HB,D,145.0,False,False,Resort Hotel,False
PKG-R-HB-F,Resort Premium HB,HB,F,185.0,True,False,Resort Hotel,True
PKG-R-HB-G,Resort Deluxe HB,HB,G,210.0,True,False,Resort Hotel,True
PKG-R-FB-F,Resort Premium FB,FB,F,230.0,True,True,Resort Hotel,True
PKG-R-FB-G,Resort Deluxe FB,FB,G,260.0,True,True,Resort Hotel,True
PKG-R-FB-H,Resort Signature FB,FB,H,310.0,True,True,Resort Hotel,True
PKG-C-BB-A,City Starter BB,BB,A,90.0,False,False,City Hotel,False
PKG-C-BB-D,City Classic BB,BB,D,120.0,False,False,City Hotel,False
PKG-C-HB-D,City Comfort HB,HB,D,155.0,False,False,City Hotel,False
PKG-C-HB-E,City Business HB,HB,E,170.0,False,True,City Hotel,False
PKG-C-HB-F,City Premium HB,HB,F,200.0,True,False,City Hotel,True
PKG-C-HB-G,City Deluxe HB,HB,G,225.0,True,False,City Hotel,True
PKG-C-FB-F,City Premium FB,FB,F,245.0,True,True,City Hotel,True
PKG-C-FB-G,City Deluxe FB,FB,G,275.0,True,True,City Hotel,True
PKG-C-FB-H,City Signature FB,FB,H,320.0,True,True,City Hotel,True
