Passenger_ID,age,gender,income_level,frequent_flyer_status,satisfaction_segment,total_flights,total_no_shows,no_show_rate,avg_satisfaction,avg_price_paid,total_delay_minutes,preferred_class,preferred_checkin,primary_travel_purpose,preferred_airline
P1,47,Male,Medium,Platinum,Satisfied,1,1,1.0,6.9,148.42,0.0,Business,Online,Emergency,Southwest
P10,60,Female,Medium,Platinum,Highly Satisfied,1,0,0.0,8.3,444.95,1.0,Economy,Airport Kiosk,Emergency,United
P100,73,Female,Low,Non-Member,Satisfied,1,0,0.0,7.2,265.69,47.0,Economy,Mobile App,Emergency,American Airlines
P1000,25,Male,Medium,Platinum,Neutral,1,1,1.0,5.9,194.28,6.0,First,Airport Kiosk,Emergency,Delta
P10000,68,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.2,241.0,3.0,Economy,Desk,Family,United
P1001,39,Female,Medium,Non-Member,Dissatisfied,1,0,0.0,4.8,479.42,1.0,Premium Economy,Desk,Business,Southwest
P1002,79,Female,Low,Non-Member,Dissatisfied,1,0,0.0,4.7,581.93,1.0,Business,Online,Business,JetBlue
P1003,33,Female,High,Non-Member,Highly Satisfied,1,0,0.0,8.9,387.43,6.0,Economy,Mobile App,Leisure,Delta
P1004,41,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.7,294.09,7.0,Economy,Mobile App,Emergency,United
P1005,54,Female,Medium,Non-Member,Neutral,1,0,0.0,6.2,450.09,6.0,Premium Economy,Airport Kiosk,Leisure,Southwest
P1006,78,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.8,326.53,21.0,Economy,Online,Family,United
P1007,61,Female,High,Non-Member,Highly Satisfied,1,0,0.0,8.8,219.69,10.0,Economy,Airport Kiosk,Emergency,American Airlines
P1008,18,Male,Medium,Silver,Neutral,1,0,0.0,5.7,449.29,19.0,Economy,Online,Business,Southwest
P1009,35,Male,Low,Non-Member,Highly Satisfied,1,0,0.0,8.5,370.25,6.0,Premium Economy,Online,Leisure,American Airlines
P101,25,Male,Low,Silver,Neutral,1,0,0.0,6.0,492.83,10.0,Economy,Airport Kiosk,Business,Southwest
P1010,65,Male,Medium,Silver,Satisfied,1,0,0.0,7.4,351.2,7.0,Economy,Desk,Emergency,Delta
P1011,76,Female,Medium,Non-Member,Satisfied,1,1,1.0,7.8,324.05,5.0,Economy,Mobile App,Emergency,United
P1012,27,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.2,350.83,0.0,Premium Economy,Online,Leisure,United
P1013,43,Female,Medium,Gold,Highly Satisfied,1,0,0.0,8.6,436.02,7.0,Premium Economy,Desk,Family,Southwest
P1014,52,Male,Medium,Silver,Highly Satisfied,1,0,0.0,8.5,150.03,8.0,Economy,Airport Kiosk,Leisure,Southwest
P1015,43,Female,Medium,Non-Member,Neutral,1,1,1.0,6.3,164.61,26.0,First,Online,Emergency,JetBlue
P1016,56,Male,High,Gold,Satisfied,1,0,0.0,7.2,311.5,8.0,First,Desk,Family,United
P1017,21,Male,High,Silver,Neutral,1,0,0.0,5.6,392.62,3.0,Economy,Mobile App,Business,American Airlines
P1018,67,Male,Medium,Non-Member,Neutral,1,0,0.0,5.6,381.81,23.0,Economy,Desk,Business,United
P1019,65,Male,High,Gold,Dissatisfied,1,0,0.0,4.7,340.95,1.0,Premium Economy,Online,Leisure,JetBlue
P102,73,Male,Low,Silver,Highly Satisfied,1,0,0.0,8.3,435.41,22.0,First,Online,Emergency,American Airlines
P1020,35,Male,High,Silver,Satisfied,1,0,0.0,6.6,172.73,3.0,Economy,Airport Kiosk,Leisure,American Airlines
P1021,59,Male,Low,Non-Member,Satisfied,1,0,0.0,7.8,331.55,11.0,Economy,Mobile App,Business,JetBlue
P1022,31,Female,High,Silver,Dissatisfied,1,0,0.0,3.7,334.49,1.0,Economy,Airport Kiosk,Leisure,Southwest
P1023,78,Male,Low,Silver,Satisfied,1,0,0.0,7.0,429.51,5.0,Premium Economy,Online,Emergency,American Airlines
P1024,53,Female,Medium,Non-Member,Neutral,1,0,0.0,5.6,427.96,12.0,Business,Online,Family,Delta
P1025,61,Male,Medium,Platinum,Dissatisfied,1,0,0.0,3.1,312.68,16.0,First,Desk,Emergency,JetBlue
P1026,56,Female,Medium,Non-Member,Satisfied,1,0,0.0,6.8,445.66,13.0,Business,Online,Business,Southwest
P1027,21,Male,High,Non-Member,Satisfied,1,0,0.0,6.8,454.21,25.0,Economy,Desk,Leisure,United
P1028,69,Male,Medium,Silver,Neutral,1,0,0.0,6.3,480.35,9.0,Premium Economy,Mobile App,Family,Southwest
P1029,41,Female,Low,Non-Member,Satisfied,1,0,0.0,7.8,583.53,2.0,Economy,Online,Family,JetBlue
P103,64,Female,High,Non-Member,Satisfied,1,0,0.0,6.5,204.43,1.0,Economy,Mobile App,Leisure,Delta
P1030,28,Female,High,Non-Member,Neutral,1,0,0.0,6.0,337.08,9.0,Premium Economy,Desk,Emergency,Delta
P1031,36,Male,Medium,Non-Member,Highly Satisfied,1,1,1.0,9.6,391.29,11.0,Economy,Online,Emergency,United
P1032,44,Male,Medium,Non-Member,Satisfied,1,0,0.0,6.6,281.94,6.0,Premium Economy,Online,Family,United
P1033,43,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.3,463.13,0.0,First,Mobile App,Emergency,United
P1034,35,Male,Low,Silver,Highly Satisfied,1,0,0.0,8.5,303.19,11.0,Economy,Airport Kiosk,Business,United
P1035,60,Female,Medium,Gold,Satisfied,1,0,0.0,7.2,416.65,0.0,Economy,Online,Family,Delta
P1036,51,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.3,312.88,1.0,Economy,Online,Business,JetBlue
P1037,40,Male,Low,Non-Member,Highly Satisfied,1,0,0.0,8.0,306.42,15.0,Economy,Desk,Business,Delta
P1038,74,Male,High,Silver,Dissatisfied,1,0,0.0,4.7,397.03,14.0,Premium Economy,Desk,Business,JetBlue
P1039,68,Female,Low,Silver,Satisfied,1,0,0.0,7.1,391.42,16.0,Economy,Mobile App,Business,Delta
P104,59,Male,High,Non-Member,Neutral,1,0,0.0,5.9,261.46,28.0,Economy,Mobile App,Leisure,United
P1040,43,Female,High,Non-Member,Satisfied,1,0,0.0,6.6,275.32,5.0,Economy,Airport Kiosk,Family,United
P1041,27,Male,Medium,Non-Member,Satisfied,1,0,0.0,6.6,342.74,17.0,Economy,Mobile App,Leisure,Delta
P1042,64,Male,Medium,Silver,Satisfied,1,0,0.0,7.7,407.4,10.0,Economy,Mobile App,Emergency,United
